PY,word,n
2021,ensino,71
2021,física,56
2022,ensino,46
2020,ensino,37
2020,física,37
2021,physics,32
2022,física,31
2021,teaching,28
2014,ensino,23
2018,ensino,23
2018,física,23
2020,physics,23
2012,ensino,22
2013,ensino,22
2022,teaching,22
2014,física,20
2017,ensino,20
2019,ensino,20
2017,física,18
2012,física,17
2020,teaching,17
2022,physics,17
2013,física,16
2018,physics,16
2018,teaching,15
2019,física,15
2021,médio,13
2012,physics,11
2015,ensino,11
2016,ensino,11
2019,arduino,11
2021,learning,11
2017,physics,10
2019,physics,10
2021,aprendizagem,10
2022,aprendizagem,10
2013,physics,9
2014,physics,9
2015,física,9
2016,arduino,9
2017,instruction,9
2017,peer,9
2018,feynman,9
2021,quântica,9
2012,teaching,8
2014,médio,8
2020,estudo,8
2020,modelo,8
2022,quantum,8
2022,quântica,8
2012,039,7
2013,médio,7
2014,experimental,7
2015,luz,7
2016,física,7
2017,médio,7
2017,teaching,7
2019,experimental,7
2019,laboratório,7
2020,didático,7
2020,modelagem,7
2021,desenvolvimento,7
2021,didática,7
2021,experimentos,7
2021,remoto,7
2021,school,7
2022,abordagem,7
2022,learning,7
2022,videoanalisando,7
2013,teaching,6
2013,virtual,6
2014,atrito,6
2014,teaching,6
2015,experimental,6
2015,ondulatória,6
2015,physics,6
2015,science,6
2016,physics,6
2017,astronomia,6
2017,quot,6
2018,enem,6
2019,didático,6
2019,proposta,6
2020,análise,6
2020,experimental,6
2020,luz,6
2020,model,6
2021,arduino,6
2021,astronomia,6
2021,education,6
2021,high,6
2021,quantum,6
2021,scientific,6
2021,simulação,6
2012,education,5
2012,modellus,5
2012,médio,5
2015,ciência,5
2015,teaching,5
2015,teoria,5
2016,custo,5
2016,led,5
2016,luz,5
2016,newton,5
2016,óptica,5
2017,aprendizagem,5
2017,custo,5
2017,educação,5
2018,astronomia,5
2018,simples,5
2019,learning,5
2019,médio,5
2019,teaching,5
2020,astronomia,5
2020,científica,5
2020,nuclear,5
2020,scientific,5
2021,abordagem,5
2021,análise,5
2021,científica,5
2021,custo,5
2021,didactic,5
2021,didático,5
2021,experimental,5
2021,geogebra,5
2021,instruction,5
2021,peer,5
2021,teoria,5
2022,análise,5
2022,didático,5
2022,fourier,5
2022,isle,5
2022,levantamento,5
2022,médio,5
2022,teoria,5
2012,formação,4
2012,moderna,4
2012,professores,4
2012,óptica,4
2013,aprendizagem,4
2013,ciência,4
2013,mecânica,4
2013,school,4
2014,aprendizagem,4
2014,fluorescência,4
2014,global,4
2015,experimento,4
2015,gt,4
2015,lt,4
2015,wave,4
2016,efeito,4
2016,helmholtz,4
2016,software,4
2016,teaching,4
2016,young,4
2017,ativa,4
2017,education,4
2017,gerador,4
2017,história,4
2017,lasers,4
2018,ciência,4
2018,didático,4
2018,médio,4
2018,science,4
2019,análise,4
2019,aprendizagem,4
2019,bioimpedância,4
2019,custo,4
2019,experimentais,4
2019,experimento,4
2019,experimentos,4
2019,experiments,4
2019,light,4
2019,matlab,4
2019,ondas,4
2019,physical,4
2019,speed,4
2020,039,4
2020,científico,4
2020,ciência,4
2020,didactic,4
2020,didática,4
2020,didáticos,4
2020,estudantes,4
2020,hooke,4
2020,learning,4
2020,meios,4
2020,modeling,4
2020,médio,4
2020,quântica,4
2020,science,4
2020,trânsito,4
2020,videoanálise,4
2020,óptica,4
2021,1,4
2021,19,4
2021,astronomy,4
2021,básica,4
2021,covid,4
2021,eletromagnetismo,4
2021,eletrônica,4
2021,experimento,4
2021,jogo,4
2021,laboratório,4
2021,metodologia,4
2021,modeling,4
2021,remote,4
2021,simulation,4
2021,sistemas,4
2021,solar,4
2022,didáticos,4
2022,education,4
2022,electric,4
2022,elétrico,4
2022,experimento,4
2022,metodologia,4
2022,recursos,4
2022,simulação,4
2022,theory,4
2022,velocidade,4
2022,videoanálise,4
2022,óptica,4
2012,abordagem,3
2012,campo,3
2012,ciências,3
2012,computacional,3
2012,didactic,3
2012,didático,3
2012,espectroscopia,3
2012,hall,3
2012,harvard,3
2012,lloyd,3
2012,modelo,3
2012,pnlem,3
2012,recursos,3
2013,analogias,3
2013,cern,3
2013,cesar,3
2013,education,3
2013,estudo,3
2013,experimento,3
2013,fundão,3
2013,ginzburg,3
2013,história,3
2013,jigsaw,3
2013,landau,3
2013,lattes,3
2013,learning,3
2013,leite,3
2013,lopes,3
2013,materiais,3
2013,metodologia,3
2013,newton,3
2013,science,3
2013,tablet,3
2013,térmica,3
2013,uso,3
2014,abs,3
2014,arduino,3
2014,atwood,3
2014,energia,3
2014,fluorescence,3
2014,geiger,3
2014,learning,3
2014,linear,3
2014,masterclasses,3
2014,muller,3
2014,ouvido,3
2014,sbm19,3
2014,school,3
2014,website,3
2015,análise,3
2015,avaliação,3
2015,boltzmann,3
2015,conceito,3
2015,concepções,3
2015,educação,3
2015,fourier,3
2015,hemts,3
2015,história,3
2015,joseph,3
2015,light,3
2015,massa,3
2015,natureza,3
2015,thomas,3
2015,young,3
2016,039,3
2016,aceleração,3
2016,cern,3
2016,daq,3
2016,demonstração,3
2016,doppler,3
2016,fu,3
2016,gif,3
2016,kung,3
2016,light,3
2016,masterclasses,3
2016,plx,3
2016,s,3
2017,alunos,3
2017,análise,3
2017,circuitos,3
2017,collision,3
2017,didático,3
2017,electric,3
2017,estudo,3
2017,experimental,3
2017,fourier,3
2017,hands,3
2017,investigação,3
2017,laboratório,3
2017,literatura,3
2017,lucie,3
2017,mecânica,3
2017,pierre,3
2017,problemas,3
2017,revisão,3
2017,school,3
2017,science,3
2017,trânsito,3
2018,amplitudes,3
2018,angular,3
2018,astronomy,3
2018,calor,3
2018,campo,3
2018,chladni,3
2018,concepções,3
2018,custo,3
2018,digital,3
2018,electric,3
2018,estudo,3
2018,fluidos,3
2018,gauss,3
2018,high,3
2018,história,3
2018,latitude,3
2018,linear,3
2018,matemática,3
2018,mathematics,3
2018,modellus,3
2018,método,3
2018,natureza,3
2018,pet,3
2018,school,3
2018,software,3
2018,teoria,3
2018,óptica,3
2019,039,3
2019,conceitos,3
2019,dados,3
2019,education,3
2019,electromagnetism,3
2019,eletricidade,3
2019,equilíbrio,3
2019,estudantes,3
2019,estudo,3
2019,físicos,3
2019,laboratory,3
2019,luz,3
2019,maxima,3
2019,motor,3
2019,quantum,3
2019,quântica,3
2019,remoto,3
2019,saúde,3
2019,school,3
2019,science,3
2019,sensor,3
2019,simulação,3
2019,software,3
2019,thomas,3
2019,venturi,3
2019,young,3
2019,óptica,3
2020,angular,3
2020,aplicada,3
2020,aprendizagem,3
2020,ar,3
2020,astronomy,3
2020,atividade,3
2020,atividades,3
2020,bloom,3
2020,cinemática,3
2020,ciências,3
2020,cosmologia,3
2020,dados,3
2020,debye,3
2020,education,3
2020,enade,3
2020,experimentos,3
2020,fermi,3
2020,instruction,3
2020,introdução,3
2020,just,3
2020,k,3
2020,kinematics,3
2020,law,3
2020,lei,3
2020,licenciatura,3
2020,light,3
2020,metodologia,3
2020,mooc,3
2020,olbers,3
2020,onsager,3
2020,partículas,3
2020,peer,3
2020,problemas,3
2020,prática,3
2020,quantum,3
2020,s,3
2020,schlieren,3
2020,shadowgraph,3
2020,significativa,3
2020,sistemas,3
2020,spinner,3
2020,stokes,3
2020,teoria,3
2020,time,3
2020,torque,3
2020,tug,3
2020,usando,3
2020,velocidade,3
2021,applied,3
2021,atividade,3
2021,basic,3
2021,carathéodory,3
2021,clausius,3
2021,complexidade,3
2021,cts,3
2021,design,3
2021,dicumba,3
2021,disciplina,3
2021,educação,3
2021,efeito,3
2021,electromagnetism,3
2021,epistemologia,3
2021,epistemology,3
2021,escola,3
2021,estratégia,3
2021,experimentais,3
2021,experiments,3
2021,formação,3
2021,incertezas,3
2021,inep,3
2021,inovação,3
2021,interferômetro,3
2021,kelvin,3
2021,laboratory,3
2021,lei,3
2021,luz,3
2021,massa,3
2021,mechanics,3
2021,mecânica,3
2021,michelson,3
2021,mnpef,3
2021,modelagem,3
2021,movimento,3
2021,ondas,3
2021,professores,3
2021,propagação,3
2021,proposta,3
2021,qiskit,3
2021,quincke,3
2021,rpg,3
2021,smartphone,3
2021,sonora,3
2021,superior,3
2021,systems,3
2021,tesla,3
2021,theory,3
2021,usando,3
2021,web,3
2022,astronomia,3
2022,atividades,3
2022,campos,3
2022,carlo,3
2022,cosmologia,3
2022,design,3
2022,diferentes,3
2022,educational,3
2022,experimentais,3
2022,experimentação,3
2022,experimentos,3
2022,field,3
2022,higgs,3
2022,high,3
2022,interface,3
2022,joule,3
2022,just,3
2022,laser,3
2022,lei,3
2022,licenciatura,3
2022,magnético,3
2022,malus,3
2022,mecânica,3
2022,modelo,3
2022,monte,3
2022,radiation,3
2022,raios,3
2022,school,3
2022,science,3
2022,significativa,3
2022,simulation,3
2022,software,3
2022,som,3
2022,stellarium,3
2022,subsunçores,3
2022,time,3
2022,training,3
2022,universal,3
2022,uso,3
2012,aprendizagem,2
2012,astronomia,2
2012,atividades,2
2012,aula,2
2012,caracterização,2
2012,ciência,2
2012,computational,2
2012,conceptual,2
2012,condutor,2
2012,contextual,2
2012,corpuscular,2
2012,cronômetro,2
2012,didáticos,2
2012,efeito,2
2012,eletromagnética,2
2012,elétrico,2
2012,espelho,2
2012,estratégia,2
2012,experimentais,2
2012,experimentação,2
2012,experimentos,2
2012,filmes,2
2012,finos,2
2012,força,2
2012,high,2
2012,históricos,2
2012,indução,2
2012,infravermelho,2
2012,inicial,2
2012,instantânea,2
2012,integração,2
2012,kuhniana,2
2012,light,2
2012,luz,2
2012,medida,2
2012,model,2
2012,modelagem,2
2012,modern,2
2012,média,2
2012,nanociência,2
2012,nanotecnologia,2
2012,optics,2
2012,problema,2
2012,projeto,2
2012,quot,2
2012,resources,2
2012,s,2
2012,sala,2
2012,school,2
2012,simulação,2
2012,spectroscopy,2
2012,superfície,2
2012,teacher,2
2012,tecnológicos,2
2012,timor,2
2012,uso,2
2012,velocidade,2
2012,velocity,2
2013,acquisition,2
2013,alunos,2
2013,aplicações,2
2013,aquisição,2
2013,astrofísica,2
2013,astronomia,2
2013,atividade,2
2013,aula,2
2013,avaliação,2
2013,biofísica,2
2013,centro,2
2013,conceitos,2
2013,conceituais,2
2013,concept,2
2013,dados,2
2013,dialética,2
2013,dilatação,2
2013,eletricidade,2
2013,energia,2
2013,esporte,2
2013,estacionárias,2
2013,estatística,2
2013,expansion,2
2013,experimentação,2
2013,experimentos,2
2013,filosofia,2
2013,fundamental,2
2013,hall,2
2013,hemodinâmico,2
2013,high,2
2013,history,2
2013,idade,2
2013,ilha,2
2013,iniciais,2
2013,instrucionais,2
2013,laboratório,2
2013,lei,2
2013,leis,2
2013,linear,2
2013,livre,2
2013,macrofotografia,2
2013,mapas,2
2013,massa,2
2013,materials,2
2013,mechanics,2
2013,mediação,2
2013,moderna,2
2013,método,2
2013,nanociência,2
2013,nanotecnologia,2
2013,ondas,2
2013,particle,2
2013,partículas,2
2013,pendulum,2
2013,periodímetro,2
2013,pic,2
2013,pêndulo,2
2013,relógio,2
2013,sala,2
2013,sensor,2
2013,sol,2
2013,supercondutividade,2
2013,tecnologias,2
2013,teoria,2
2013,termodinâmica,2
2013,terra,2
2013,thermal,2
2013,ufrj,2
2013,utilizando,2
2014,abordagem,2
2014,activity,2
2014,análise,2
2014,aquecimento,2
2014,atividade,2
2014,atomic,2
2014,ausubel,2
2014,biofísica,2
2014,ciclos,2
2014,cinético,2
2014,ciências,2
2014,construção,2
2014,curricular,2
2014,curriculum,2
2014,currículo,2
2014,deficientes,2
2014,dilatação,2
2014,dinâmica,2
2014,dynamics,2
2014,education,2
2014,enem,2
2014,energy,2
2014,enfermagem,2
2014,estudo,2
2014,eólica,2
2014,forças,2
2014,freios,2
2014,friction,2
2014,high,2
2014,integração,2
2014,interdisciplinar,2
2014,massa,2
2014,medida,2
2014,montagem,2
2014,movimento,2
2014,máquina,2
2014,optics,2
2014,oscilatório,2
2014,partículas,2
2014,problemas,2
2014,propagação,2
2014,quot,2
2014,radioamadorismo,2
2014,relatividade,2
2014,restrita,2
2014,rolamento,2
2014,sbm20,2
2014,scientific,2
2014,simulação,2
2014,software,2
2014,temperatura,2
2014,teoria,2
2014,tracker,2
2014,térmica,2
2014,variável,2
2014,visuais,2
2014,volumes,2
2014,vygotsky,2
2014,vídeo,2
2014,áreas,2
2014,óptica,2
2015,adultos,2
2015,alternativas,2
2015,alternative,2
2015,alunos,2
2015,astronomia,2
2015,atividade,2
2015,bernoulli,2
2015,básicas,2
2015,calor,2
2015,característica,2
2015,circularmente,2
2015,conceitos,2
2015,conceptions,2
2015,constante,2
2015,coriolis,2
2015,curva,2
2015,custo,2
2015,diagnóstica,2
2015,didático,2
2015,didáticos,2
2015,diodo,2
2015,disciplinas,2
2015,education,2
2015,efeito,2
2015,effect,2
2015,energia,2
2015,energy,2
2015,escoamentos,2
2015,esfera,2
2015,estudo,2
2015,experiment,2
2015,formativa,2
2015,geofísicos,2
2015,geometria,2
2015,giratória,2
2015,guitarra,2
2015,history,2
2015,inércia,2
2015,italic,2
2015,jovens,2
2015,levitação,2
2015,livros,2
2015,magnus,2
2015,mass,2
2015,mesa,2
2015,metodologia,2
2015,modellus,2
2015,modfets,2
2015,médio,2
2015,nature,2
2015,perseguição,2
2015,poe,2
2015,polarizada,2
2015,problemas,2
2015,projeto,2
2015,relatividade,2
2015,semicondutores,2
2015,simulação,2
2015,sub,2
2015,superior,2
2015,taylor,2
2015,tensor,2
2015,transistores,2
2015,videoanálise,2
2015,voltagem,2
2015,vídeos,2
2015,óptica,2
2016,abordagem,2
2016,astronômica,2
2016,atrito,2
2016,caracterização,2
2016,catenária,2
2016,centro,2
2016,científica,2
2016,comunicação,2
2016,conceituais,2
2016,construção,2
2016,cost,2
2016,cromática,2
2016,disco,2
2016,education,2
2016,effect,2
2016,escape,2
2016,estabilidade,2
2016,estatística,2
2016,estrelas,2
2016,experimental,2
2016,experimento,2
2016,gotas,2
2016,hardware,2
2016,imagens,2
2016,inércia,2
2016,labview,2
2016,learning,2
2016,lente,2
2016,livre,2
2016,low,2
2016,m,2
2016,massa,2
2016,medidas,2
2016,médio,2
2016,negras,2
2016,optics,2
2016,particle,2
2016,plataforma,2
2016,polarização,2
2016,postural,2
2016,projetor,2
2016,queda,2
2016,quot,2
2016,smartphones,2
2016,tablets,2
2016,trânsito,2
2016,térmica,2
2016,unidade,2
2016,velocidade,2
2016,velocity,2
2016,videoanálise,2
2016,virtual,2
2016,visão,2
2016,vênus,2
2017,abertos,2
2017,active,2
2017,aplicada,2
2017,aplicativo,2
2017,arduíno,2
2017,astronomer,2
2017,astronomy,2
2017,calor,2
2017,científica,2
2017,circuits,2
2017,ciência,2
2017,ciências,2
2017,coeficiente,2
2017,colisões,2
2017,corpos,2
2017,cost,2
2017,diagrama,2
2017,dinâmica,2
2017,divulgação,2
2017,elétrico,2
2017,elétricos,2
2017,escura,2
2017,estágio,2
2017,fases,2
2017,fauna,2
2017,generator,2
2017,geométrica,2
2017,habitável,2
2017,harmonic,2
2017,harmônico,2
2017,high,2
2017,history,2
2017,ilha,2
2017,implementação,2
2017,incerteza,2
2017,laboratory,2
2017,learning,2
2017,livro,2
2017,low,2
2017,matéria,2
2017,mechanics,2
2017,meteorologia,2
2017,metodologia,2
2017,motor,2
2017,ohm,2
2017,oscilador,2
2017,perguntas,2
2017,phase,2
2017,plickers,2
2017,pôr,2
2017,recetor,2
2017,resolução,2
2017,restituição,2
2017,simulador,2
2017,sol,2
2017,solar,2
2017,supervisionado,2
2017,system,2
2017,séries,2
2017,textos,2
2017,trifásico,2
2017,urbana,2
2017,virial,2
2017,voltâmetro,2
2017,votação,2
2017,zona,2
2017,água,2
2017,óptica,2
2018,039,2
2018,12.1,2
2018,abertura,2
2018,acústica,2
2018,alternativas,2
2018,ansys,2
2018,aproximações,2
2018,arduino,2
2018,atividades,2
2018,avogadro,2
2018,braille,2
2018,brasil,2
2018,cfx,2
2018,circuitos,2
2018,clapeyron,2
2018,clausius,2
2018,computacional,2
2018,conceptions,2
2018,der,2
2018,didática,2
2018,didáticos,2
2018,diurna,2
2018,education,2
2018,elétrica,2
2018,elétrico,2
2018,energia,2
2018,equation,2
2018,equação,2
2018,escala,2
2018,experimental,2
2018,experimento,2
2018,fenômenos,2
2018,fluid,2
2018,formação,2
2018,fotogate,2
2018,funções,2
2018,garrafa,2
2018,geométrica,2
2018,gravitação,2
2018,hc,2
2018,hertz,2
2018,history,2
2018,imagens,2
2018,investigativas,2
2018,laboratórios,2
2018,large,2
2018,lectures,2
2018,lei,2
2018,lineares,2
2018,material,2
2018,mecânica,2
2018,medida,2
2018,memorial,2
2018,method,2
2018,motivacionais,2
2018,movimento,2
2018,nature,2
2018,non,2
2018,ondas,2
2018,ondulatórios,2
2018,optics,2
2018,orientações,2
2018,oscilações,2
2018,padrões,2
2018,paralaxe,2
2018,photogate,2
2018,problemas,2
2018,pêndulo,2
2018,richard,2
2018,s,2
2018,scale,2
2018,scientific,2
2018,softwares,2
2018,sol,2
2018,sr04,2
2018,superfície,2
2018,theory,2
2018,transmissão,2
2018,trigonométrica,2
2018,van,2
2018,visual,2
2018,waals,2
2018,waves,2
2019,abordagem,2
2019,acomodação,2
2019,aplicada,2
2019,aquisição,2
2019,ativa,2
2019,atividades,2
2019,autoeficácia,2
2019,automodulação,2
2019,automática,2
2019,avaliação,2
2019,basic,2
2019,bioimpedance,2
2019,básicos,2
2019,capacitor,2
2019,ciência,2
2019,ciências,2
2019,composição,2
2019,computer,2
2019,concepts,2
2019,constante,2
2019,corporal,2
2019,cronbach,2
2019,dielétrica,2
2019,distância,2
2019,efeito,2
2019,eletrodinâmica,2
2019,eletromagnetismo,2
2019,equilibrium,2
2019,espacial,2
2019,espectroscopia,2
2019,estelar,2
2019,estratégia,2
2019,fase,2
2019,fermi,2
2019,físicas,2
2019,gamificação,2
2019,gases,2
2019,gif,2
2019,grandezas,2
2019,guide,2
2019,high,2
2019,inclinado,2
2019,indução,2
2019,interdisciplinaridade,2
2019,interdisciplinarity,2
2019,interference,2
2019,interferência,2
2019,lab,2
2019,laser,2
2019,led,2
2019,limiting,2
2019,linear,2
2019,luminosidade,2
2019,oersted,2
2019,optical,2
2019,plano,2
2019,potencial,2
2019,pressão,2
2019,principles,2
2019,princípios,2
2019,python,2
2019,quase,2
2019,radiações,2
2019,realização,2
2019,relativity,2
2019,remote,2
2019,s,2
2019,seebeck,2
2019,self,2
2019,special,2
2019,tecnologias,2
2019,teoria,2
2019,tradicional,2
2019,transmissão,2
2019,trânsito,2
2019,tubo,2
2019,utilizando,2
2019,utilização,2
2019,validação,2
2019,virial,2
2019,virtual,2
2020,abertos,2
2020,activity,2
2020,aglomerados,2
2020,air,2
2020,aluno,2
2020,arduino,2
2020,associação,2
2020,atenuação,2
2020,atrito,2
2020,bakhtin,2
2020,baseada,2
2020,beer,2
2020,bicarbonato,2
2020,bnct,2
2020,boltzmann,2
2020,campo,2
2020,caso,2
2020,cinética,2
2020,clausius,2
2020,cognitiva,2
2020,colegas,2
2020,comunidades,2
2020,conceitos,2
2020,conceitual,2
2020,constant,2
2020,constante,2
2020,contextualização,2
2020,corpos,2
2020,cosmology,2
2020,course,2
2020,custo,2
2020,céu,2
2020,deficiência,2
2020,densidade,2
2020,design,2
2020,electrodynamics,2
2020,eletrodinâmica,2
2020,elétrico,2
2020,endf,2
2020,engenharia,2
2020,escuro,2
2020,exoplaneta,2
2020,ferramenta,2
2020,fidget,2
2020,flexibilidade,2
2020,fnde,2
2020,foguete,2
2020,frame,2
2020,funções,2
2020,gases,2
2020,geométrica,2
2020,graphs,2
2020,gravidade,2
2020,high,2
2020,hipermídia,2
2020,instrução,2
2020,lambert,2
2020,langevin,2
2020,livro,2
2020,líquidos,2
2020,lúdica,2
2020,massa,2
2020,material,2
2020,maxwell,2
2020,meaningful,2
2020,mecânica,2
2020,mecânicas,2
2020,media,2
2020,medida,2
2020,modelos,2
2020,molas,2
2020,mossotti,2
2020,movimento,2
2020,método,2
2020,objeto,2
2020,ondas,2
2020,optics,2
2020,oscilações,2
2020,paralelo,2
2020,parâmetros,2
2020,planetário,2
2020,pmtu,2
2020,pnld,2
2020,potencialmente,2
2020,pressão,2
2020,quadro,2
2020,quase,2
2020,queda,2
2020,reflexão,2
2020,refração,2
2020,resistance,2
2020,revisada,2
2020,robótica,2
2020,rockets,2
2020,rolamento,2
2020,school,2
2020,sensor,2
2020,simulador,2
2020,smartphone,2
2020,solar,2
2020,som,2
2020,speed,2
2020,spring,2
2020,student,2
2020,study,2
2020,systems,2
2020,taxonomia,2
2020,terminal,2
2020,termodinâmica,2
2020,ueps,2
2020,unidade,2
2020,validação,2
2020,video,2
2020,visual,2
2020,voo,2
2020,vídeos,2
2021,50,2
2021,alfabetização,2
2021,alunos,2
2021,ap50,2
2021,aplicativo,2
2021,aulas,2
2021,axioma,2
2021,base,2
2021,baseada,2
2021,based,2
2021,biofísica,2
2021,bobina,2
2021,braile,2
2021,brasil,2
2021,brazilian,2
2021,buoyancy,2
2021,c,2
2021,carathéodory’s,2
2021,caso,2
2021,científicas,2
2021,ciência,2
2021,complexity,2
2021,computacional,2
2021,computação,2
2021,conceitual,2
2021,contexto,2
2021,contrastação,2
2021,contínua,2
2021,cost,2
2021,criativa,2
2021,cromosférica,2
2021,curricular,2
2021,currículos,2
2021,densímetro,2
2021,desafios,2
2021,didáticos,2
2021,dissertações,2
2021,educacionais,2
2021,educational,2
2021,effect,2
2021,elaboração,2
2021,elasticidade,2
2021,eletromagnéticas,2
2021,empuxo,2
2021,empírica,2
2021,experience,2
2021,experiência,2
2021,exposigoes,2
2021,fci,2
2021,ferramenta,2
2021,fontes,2
2021,fotoelétrico,2
2021,fresnel,2
2021,físicos,2
2021,galilei,2
2021,games,2
2021,graduação,2
2021,gênero,2
2021,históricos,2
2021,híbrida,2
2021,híbrido,2
2021,ibm,2
2021,innovation,2
2021,instrução,2
2021,interativa,2
2021,interferometer,2
2021,interferência,2
2021,law,2
2021,likert,2
2021,literacy,2
2021,literatura,2
2021,literature,2
2021,low,2
2021,material,2
2021,meaningful,2
2021,mecánica,2
2021,methodology,2
2021,metodológica,2
2021,modern,2
2021,moderna,2
2021,molecular,2
2021,motivação,2
2021,máquina,2
2021,métodos,2
2021,módulo,2
2021,natural,2
2021,neurociência,2
2021,new,2
2021,online,2
2021,pandemia,2
2021,pares,2
2021,partículas,2
2021,photoelectric,2
2021,physical,2
2021,plataforma,2
2021,poluição,2
2021,primárias,2
2021,principle,2
2021,princípio,2
2021,produtos,2
2021,python,2
2021,radiation,2
2021,radiação,2
2021,recursos,2
2021,relatividade,2
2021,relato,2
2021,review,2
2021,science,2
2021,sequências,2
2021,significativa,2
2021,simetrias,2
2021,sol,2
2021,solares,2
2021,sound,2
2021,sun,2
2021,teacher,2
2021,termodinâmica,2
2021,teórico,2
2021,theoretical,2
2021,tinkercad,2
2021,training,2
2021,tubo,2
2021,ufrj,2
2021,uncertainties,2
2021,utilizando,2
2021,variável,2
2021,virial,2
2021,virtual,2
2021,vlasov,2
2021,waves,2
2021,xps,2
2022,19,2
2022,1940,2
2022,1980,2
2022,acadêmico,2
2022,acelerômetro,2
2022,activities,2
2022,aerodinâmica,2
2022,ar,2
2022,astronomy,2
2022,autos,2
2022,avaliação,2
2022,based,2
2022,bncc,2
2022,brinquedos,2
2022,celular,2
2022,ciencias,2
2022,ciências,2
2022,computação,2
2022,cosmology,2
2022,covid,2
2022,covid19,2
2022,curso,2
2022,custo,2
2022,câmara,2
2022,cósmicos,2
2022,desempenho,2
2022,desenvolvimento,2
2022,deutsch,2
2022,dewey,2
2022,digitais,2
2022,educacional,2
2022,efeito,2
2022,elementares,2
2022,eletromotriz,2
2022,engenharia,2
2022,espectrais,2
2022,espectral,2
2022,espontânea,2
2022,estratégias,2
2022,estrelas,2
2022,estudo,2
2022,expansão,2
2022,experience,2
2022,experiment,2
2022,experimental,2
2022,experimentation,2
2022,fejér,2
2022,fidget,2
2022,formativas,2
2022,força,2
2022,fuzzy,2
2022,gamificação,2
2022,geométrica,2
2022,gerador,2
2022,gravitação,2
2022,gráfica,2
2022,guias,2
2022,ibm,2
2022,incerteza,2
2022,instantânea,2
2022,instrucional,2
2022,integrada,2
2022,jornadas,2
2022,linear,2
2022,livro,2
2022,livros,2
2022,magnetic,2
2022,matemático,2
2022,matrix,2
2022,matriz,2
2022,meaningful,2
2022,mechanics,2
2022,mental,2
2022,methodology,2
2022,modelagem,2
2022,modos,2
2022,momentos,2
2022,motivation,2
2022,motivação,2
2022,motores,2
2022,médica,2
2022,método,2
2022,música,2
2022,nuvens,2
2022,núcleo,2
2022,ondas,2
2022,optics,2
2022,organização,2
2022,osciladores,2
2022,pandemia,2
2022,partículas,2
2022,pedagógicos,2
2022,phet,2
2022,portable,2
2022,portáteis,2
2022,portátil,2
2022,potência,2
2022,princípio,2
2022,professor,2
2022,quebra,2
2022,radiação,2
2022,referência,2
2022,remote,2
2022,resistência,2
2022,resources,2
2022,ressonantes,2
2022,retangulares,2
2022,series,2
2022,simetria,2
2022,solar,2
2022,spinner,2
2022,stars,2
2022,série,2
2022,teacher,2
2022,termometria,2
2022,teórico,2
2022,utilizando,2
2022,video,2
2022,visualização,2
2012,abordando,1
2012,accuracy,1
2012,acuracia,1
2012,acurácia,1
2012,angola,1
2012,approach,1
2012,aprendizado,1
2012,apresentação,1
2012,articulação,1
2012,astronomy,1
2012,atmosféricas,1
2012,autores,1
2012,auxiliar,1
2012,average,1
2012,bacharelado,1
2012,base,1
2012,bobina,1
2012,brasileiro,1
2012,campos,1
2012,card,1
2012,cargas,1
2012,carriers,1
2012,characterization,1
2012,charge,1
2012,cinemática,1
2012,classroom,1
2012,clássica,1
2012,coil,1
2012,computacionais,1
2012,computador,1
2012,computer,1
2012,conceitos,1
2012,conceptuais,1
2012,conductor,1
2012,conhecimentos,1
2012,construção,1
2012,continuada,1
2012,crianças,1
2012,curriculares,1
2012,curriculum,1
2012,curso,1
2012,céu,1
2012,descontinuidade,1
2012,didática,1
2012,diffraction,1
2012,difração,1
2012,dimensões,1
2012,discontinuity,1
2012,educacional,1
2012,educação,1
2012,effect,1
2012,electric,1
2012,electromagnetic,1
2012,electromotive,1
2012,eletromotriz,1
2012,empírica,1
2012,esclarecida,1
2012,espalhamento,1
2012,exercício,1
2012,experimental,1
2012,experimentation,1
2012,experiments,1
2012,field,1
2012,fields,1
2012,film,1
2012,force,1
2012,físicos,1
2012,graphical,1
2012,gráficas,1
2012,historical,1
2012,histórica,1
2012,inclinado,1
2012,inclined,1
2012,induction,1
2012,infrared,1
2012,iniciais,1
2012,initial,1
